BANNER_ID,_CUSTOMER1_FISCHER_GROUPS_BY_USER.GROUP_EMAIL,_CUSTOMER1_FISCHER_ROLES_ALUM_VIEW.ROLE
B00848138,null,ALUM
B00296085,null,ALUM
B00849465,null,ALUM
A00000680,null,ALUM
B00849463,depts-rcl-staff,ALUM
A00374807,null,ALUM
B00200426,null,ALUM
A00000666,null,ALUM
B00452137,null,ALUM
A00001995,null,ALUM
B00452134,depts-tac-staff,null
A00000661,null,ALUM
A00000660,null,ALUM
B00452131,null,ALUM
B00788031,null,ALUM
A00289627,null,ALUM
A00001998,null,ALUM
B00081421,null,ALUM
B00142866,null,ALUM
B00848149,null,ALUM
B00848145,null,ALUM
B00140208,null,ALUM
B00848143,null,ALUM
B00849472,null,ALUM
A00012649,null,ALUM
A00457615,depts-educ-fac,ALUM
B00812238,null,ALUM
B00371934,null,ALUM
A00432317,null,ALUM
A00458947,null,ALUM
B00321673,null,ALUM
B00044372,null,ALUM
A00001903,null,ALUM
B00031057,null,ALUM
B00297357,null,ALUM
A00419346,null,ALUM
B00838871,null,ALUM
B00321681,null,ALUM
B00154908,null,ALUM
B00154909,null,ALUM
B00297359,null,ALUM
B00043035,null,ALUM
A00457625,null,ALUM
B00284055,null,ALUM
B00488096,null,ALUM
B00261392,null,ALUM
B00357633,null,ALUM
B00849534,null,ALUM
B00298694,null,ALUM
B00849533,null,ALUM
A00418026,null,ALUM
B00080111,null,ALUM
B00850514,null,ALUM
B00044354,null,ALUM
B00345665,null,ALUM
B00297380,null,ALUM
A00410984,null,ALUM
A00420305,null,ALUM
B00849547,null,ALUM
B00297376,null,ALUM
A00419329,null,ALUM
B00079133,null,ALUM
B00849546,null,ALUM
A00471930,null,ALUM
B00033693,null,ALUM
B00849544,null,ALUM
B00297372,null,ALUM
B00848210,null,ALUM
B00356318,null,ALUM
B00129972,null,ALUM
B00044345,null,ALUM
B00345673,null,ALUM
A00457644,null,ALUM
A00406037,null,ALUM
B00259073,null,ALUM
B00093433,null,ALUM
B00154915,null,ALUM
B00488078,null,ALUM
B00274688,null,ALUM
A00471941,null,ALUM
B00081462,null,ALUM
B00080133,null,ALUM
B00274680,null,ALUM
B00345680,null,ALUM
B00274682,null,ALUM
B00343021,null,ALUM
B00476092,null,ALUM
B00370618,null,ALUM
B00369655,null,ALUM
B00621414,null,ALUM
B00019379,null,ALUM
B00370640,null,ALUM
B00621411,null,ALUM
B00019372,null,ALUM
B00395946,null,ALUM
B00345686,null,ALUM
A00000619,null,ALUM
A00000618,null,ALUM
A00001948,null,ALUM
A00001947,null,ALUM
B00285330,null,ALUM
A00000615,null,ALUM
B00357671,null,ALUM
B00079161,null,ALUM
B00488064,depts-educ-fac,null
B00297313,null,ALUM
B00079156,null,ALUM
B00297312,null,ALUM
B00297311,null,ALUM
B00357664,null,ALUM
B00080147,null,ALUM
B00490376,"bannerusers,depts-cont-staff,bannerusers,depts-cont-staff",null
B00307330,null,ALUM
B00080142,null,ALUM
B00345691,null,ALUM
A00013926,null,ALUM
B00297319,null,ALUM
B00310970,null,ALUM
B00394617,null,ALUM
B00299974,null,ALUM
B00837504,null,ALUM
B00621425,null,ALUM
B00489383,depts-educ-staff,null
A00446994,null,ALUM
A00000605,"depts-fa-fac,depts-dnc-fac,depts-fa-fac,depts-dnc-fac",ALUM
A00001933,null,ALUM
A00444326,null,ALUM
B00851802,null,ALUM
B00490367,"bannerusers,depts-crel-staff,bannerusers,depts-crel-staff",null
A00000609,null,ALUM
B00383942,null,ALUM
B00272083,null,ALUM
B00299982,null,ALUM
B00080151,null,ALUM
B00369651,"depts-icl-fac,depts-soan-fac,depts-sosc-fac,depts-educ-fac,depts-educ-staff,depts-icl-fac,depts-soan-fac,depts-sosc-fac,depts-educ-fac,depts-educ-staff",null
B00370638,null,ALUM
B00851800,null,ALUM
A00458923,null,ALUM
B00044310,null,ALUM
A00458924,null,ALUM
A00434998,null,ALUM
B00621439,null,ALUM
B00371993,null,ALUM
B00370665,null,ALUM
A00001928,null,ALUM
A00001925,null,ALUM
B00489375,"depts-nsm-staff,depts-psyc-staff,depts-nsm-staff,depts-psyc-staff",null
B00092151,null,ALUM
B00357693,null,ALUM
A00001929,null,ALUM
B00851819,null,ALUM
B00299991,null,ALUM
B00296005,null,ALUM
B00367003,depts-tac-staff,null
B00370655,null,ALUM
A00374878,null,ALUM
A00433658,null,ALUM
A00458934,null,ALUM
A00432328,null,ALUM
B00394604,null,ALUM
B00476045,null,ALUM
B00621444,null,ALUM
B00395935,null,ALUM
A00471908,null,ALUM
B00849507,null,ALUM
B00298677,null,ALUM
A00420359,null,ALUM
B00849514,null,ALUM
A00386859,null,ALUM
B00849511,null,ALUM
B00849510,null,ALUM
B00394606,null,ALUM
A00278905,null,ALUM
B00343065,null,ALUM
B00851821,null,ALUM
B00343064,null,ALUM
B00367012,depts-tac-staff,null
B00298679,null,ALUM
B00236369,null,ALUM
A00482653,null,ALUM
B00224384,null,ALUM
B00417735,null,ALUM
A00468347,null,ALUM
A00443047,null,ALUM
A00471992,null,ALUM
B00211074,null,ALUM
B00430701,null,ALUM
B00263974,null,ALUM
B00263971,null,ALUM
B00007335,null,ALUM
B00285301,null,ALUM
B00225699,null,ALUM
B00034970,null,ALUM
B00259008,null,ALUM
B00032316,null,ALUM
B00236385,null,ALUM
B00261302,null,ALUM
B00261301,null,ALUM
B00430738,null,ALUM
A00096211,null,ALUM
A00467039,null,ALUM
B00274614,null,ALUM
B00251973,null,ALUM
A00288295,null,ALUM
A00418077,null,ALUM
A00072258,null,ALUM
A00481336,null,ALUM
B00428422,null,ALUM
A00433698,null,ALUM
A00433699,null,ALUM
B00428421,null,ALUM
B00331052,null,ALUM
A00444353,null,ALUM
A00468388,null,ALUM
B00248342,null,ALUM
A00073584,null,ALUM
B00248341,null,ALUM
A00444350,null,ALUM
A00467056,null,ALUM
B00331048,null,ALUM
B00299969,null,ALUM
A00443015,null,ALUM
A00445678,null,ALUM
B00237691,null,ALUM
B00236364,null,ALUM
B00237696,null,ALUM
B00237693,null,ALUM
B00403136,null,ALUM
B00728217,null,ALUM
A00023298,null,ALUM
B00259040,null,ALUM
B00223095,null,ALUM
B00007304,null,ALUM
B00306087,null,ALUM
B00333697,null,ALUM
A00455001,null,ALUM
A00457666,null,ALUM
A00457667,null,ALUM
B00318071,null,ALUM
B00299909,null,ALUM
A00073560,null,ALUM
B00299901,null,ALUM
A00471963,null,ALUM
B00164297,null,ALUM
B00718886,null,ALUM
B00235092,null,ALUM
B00299905,null,ALUM
B00034936,null,ALUM
B00620182,null,ALUM
A00047289,null,ALUM
A00443070,null,ALUM
A00072206,null,ALUM
B00321693,null,ALUM
B00333682,null,ALUM
B00248377,null,ALUM
A00468332,null,ALUM
B00007325,null,ALUM
B00247046,null,ALUM
B00250687,null,ALUM
B00010976,null,ALUM
A00443069,null,ALUM
A00470642,null,ALUM
B00250680,"depts-eng-staff,depts-let-staff,bannerusers,depts-book-staff,depts-eng-staff,depts-let-staff,bannerusers,depts-book-staff",null
A00456350,null,ALUM
A00073539,null,ALUM
B00236395,null,ALUM
B00320358,null,ALUM
B00262664,"depts-nsm-fac,depts-bio-fac,depts-nsm-fac,depts-bio-fac",null
B00262665,null,ALUM
A00098825,null,ALUM
B00287947,null,ALUM
B00034919,depts-psaf-staff,null
B00345630,null,ALUM
A00457689,null,ALUM
B00007319,null,ALUM
A00469671,null,ALUM
A00469670,null,ALUM
B00345639,null,ALUM
A00443063,null,ALUM
A00467006,null,ALUM
B00189599,null,ALUM
B00299923,null,ALUM
B00299928,null,ALUM
A00470655,null,ALUM
B00010968,null,ALUM
B00235074,null,ALUM
B00332339,null,ALUM
B00259027,null,ALUM
B00404422,null,ALUM
A00073516,null,ALUM
B00176130,null,ALUM
B00152162,null,ALUM
B00238945,null,ALUM
A00289796,null,ALUM
B00191765,"depts-eng-fac,depts-let-fac,depts-eng-fac,depts-let-fac",ALUM
B00489500,"depts-sosc-fac,depts-econ-fac,depts-sosc-fac,depts-econ-fac",null
A00012594,null,ALUM
B00263907,null,ALUM
B00152170,null,ALUM
B00263905,null,ALUM
B00139190,null,ALUM
B00452236,"depts-fa-fac,depts-dnc-fac,depts-fa-fac,depts-dnc-fac",null
B00453567,depts-educ-staff,ALUM
B00452234,null,ALUM
A00048547,null,ALUM
A00098805,null,ALUM
B00392087,null,ALUM
B00191778,null,ALUM
B00200335,null,ALUM
B00188121,null,ALUM
B00189454,depts-educ-staff,ALUM
B00440228,null,ALUM
B00452203,depts-tac-staff,null
A00000599,null,ALUM
A00000598,null,ALUM
A00000597,null,ALUM
B00177444,null,ALUM
B00453533,null,ALUM
A00000596,null,ALUM
A00288442,null,ALUM
B00427283,null,ALUM
B00008855,null,ALUM
B00191743,null,ALUM
B00008861,null,ALUM
B00226974,null,ALUM
B00189420,null,ALUM
A00000587,null,ALUM
B00177455,null,ALUM
B00453541,null,ALUM
B00178783,null,ALUM
B00176122,null,ALUM
A00050884,null,ALUM
A00288454,null,ALUM
A00481294,null,ALUM
B00189430,null,ALUM
B00226962,null,ALUM
A00000591,null,ALUM
A00288461,"depts-eng-fac,depts-let-fac,depts-sosc-fac,depts-wmst-fac,depts-eng-fac,depts-let-fac,depts-sosc-fac,depts-wmst-fac",ALUM
B00465527,depts-educ-fac,null
B00164159,null,ALUM
B00262610,null,ALUM
B00430878,null,ALUM
B00428551,null,ALUM
B00429880,null,ALUM
B00154781,null,ALUM
B00619051,null,ALUM
A00023219,null,ALUM
B00141467,null,ALUM
B00223004,null,ALUM
B00224334,null,ALUM
B00251956,null,ALUM
B00200363,null,ALUM
B00250624,null,ALUM
B00404594,null,ALUM
B00223009,null,ALUM
B00428567,"depts-mcs-fac,depts-nsm-fac,depts-mcs-fac,depts-nsm-fac",null
A00023226,null,ALUM
B00152110,null,ALUM
B00453522,null,ALUM
B00211016,null,ALUM
B00236337,null,ALUM
B00200383,null,ALUM
B00177438,null,ALUM
B00191731,null,ALUM
B00139166,null,ALUM
B00189414,null,ALUM
B00166759,null,ALUM
B00152146,null,ALUM
B00236303,null,ALUM
A00024563,null,ALUM
A00202192,null,ALUM
A00239473,null,ALUM
A00239471,"depts-fa-fac,depts-mus-fac,depts-fa-fac,depts-mus-fac",null
B00008816,null,ALUM
B00008810,null,ALUM
B00223026,null,ALUM
B00225686,null,ALUM
B00718833,null,ALUM
B00140156,null,ALUM
B00152135,null,ALUM
B00263910,null,ALUM
B00177410,null,ALUM
B00237648,null,ALUM
B00427255,null,ALUM
B00236315,null,ALUM
B00427250,null,ALUM
B00250617,null,ALUM
B00331097,null,ALUM
B00152136,null,ALUM
B00191711,null,ALUM
A00035223,null,ALUM
B00718823,null,ALUM
B00466810,null,ALUM
B00139182,null,ALUM
B00343066,null,ALUM
B00886548,null,ALUM
B00370684,null,ALUM
B00202909,null,ALUM
B00489591,"depts-eng-fac,depts-let-fac,depts-eng-fac,depts-let-fac",null
B00489596,depts-aper-fac,null
A00000538,null,ALUM
A00000536,null,ALUM
B00381335,null,ALUM
B00489587,depts-aper-staff,null
B00489586,depts-tac-staff,null
B00103164,null,ALUM
A00290702,null,ALUM
A00000523,null,ALUM
B00394666,null,ALUM
A00000520,null,ALUM
A00000528,null,ALUM
B00489585,depts-cpsy-staff,null
A00000526,null,ALUM
B00489583,"depts-soan-fac,depts-sosc-fac,depts-soan-fac,depts-sosc-fac",null
A00422910,null,ALUM
B00141436,null,ALUM
B00489575,"depts-uga-staff,bannerusers,depts-uga-staff,bannerusers",null
B00142766,null,ALUM
B00140106,"bannerusers,depts-educ-fac,bannerusers,depts-educ-fac",ALUM
B00488249,null,ALUM
B00850595,null,ALUM
B00343087,null,ALUM
B00848280,null,ALUM
A00290712,null,ALUM
A00001843,null,ALUM
A00000511,null,ALUM
A00408626,null,ALUM
