_changetype,_CUSTOMER1_FISCHER_ROLES_ALUM_VIEW.BANNER_ID,_CUSTOMER1_FISCHER_ROLES_ALUM_VIEW.ROLE
add,A00001019,ALUM
add,A00001021,ALUM
add,A00001023,ALUM
add,A00001024,ALUM
add,A00001028,ALUM
add,A00001029,ALUM
add,A00001034,ALUM
add,A00001035,ALUM
add,A00001037,ALUM
add,A00001043,ALUM
add,A00001051,ALUM
add,A00001052,ALUM
add,A00001056,ALUM
add,A00001057,ALUM
add,A00001058,ALUM
add,A00001059,ALUM
add,A00001062,ALUM
add,A00001064,ALUM
add,A00001069,ALUM
add,A00001073,ALUM
add,A00001074,ALUM
add,A00001077,ALUM
add,A00001078,ALUM
add,A00001079,ALUM
add,A00001084,ALUM
add,A00001087,ALUM
add,A00001088,ALUM
add,A00001097,ALUM
add,A00001100,ALUM
add,A00001105,ALUM
add,A00001113,ALUM
add,A00001115,ALUM
add,A00001119,ALUM
add,A00001125,ALUM
add,A00001127,ALUM
add,A00001129,ALUM
add,A00001139,ALUM
add,A00001145,ALUM
add,A00001147,ALUM
add,A00001148,ALUM
add,A00001151,ALUM
add,A00001153,ALUM
add,A00001162,ALUM
add,A00001166,ALUM
add,A00001167,ALUM
add,A00001175,ALUM
add,A00001179,ALUM
add,A00001182,ALUM
add,A00001185,ALUM
add,A00001187,ALUM
add,A00001191,ALUM
add,A00001195,ALUM
add,A00001196,ALUM
add,A00001204,ALUM
add,A00001206,ALUM
add,A00001207,ALUM
add,A00001213,ALUM
add,A00001217,ALUM
add,A00001220,ALUM
add,A00001228,ALUM
add,A00001255,ALUM
add,A00001257,ALUM
add,A00001263,ALUM
add,A00001264,ALUM
add,A00001265,ALUM
add,A00001269,ALUM
add,A00001283,ALUM
add,A00001288,ALUM
add,A00001289,ALUM
add,A00001290,ALUM
add,A00001291,ALUM
add,A00001297,ALUM
add,A00001303,ALUM
add,A00001308,ALUM
add,A00001310,ALUM
add,A00001314,ALUM
add,A00001316,ALUM
add,A00001317,ALUM
add,A00001321,ALUM
add,A00001332,ALUM
add,A00001336,ALUM
add,A00001338,ALUM
add,A00001340,ALUM
add,A00001343,ALUM
add,A00001347,ALUM
add,A00001350,ALUM
add,A00001357,ALUM
add,A00001358,ALUM
add,A00001360,ALUM
add,A00001361,ALUM
add,A00001362,ALUM
add,A00001367,ALUM
add,A00001368,ALUM
add,A00001369,ALUM
add,A00001377,ALUM
add,A00001379,ALUM
add,A00001385,ALUM
add,A00001387,ALUM
add,A00001390,ALUM
add,A00001393,ALUM
add,A00001395,ALUM
add,A00001398,ALUM
add,A00001402,ALUM
add,A00001407,ALUM
add,A00001420,ALUM
add,A00001429,ALUM
add,A00001432,ALUM
add,A00001437,ALUM
add,A00001449,ALUM
add,A00001461,ALUM
add,A00001469,ALUM
add,A00001475,ALUM
add,A00001476,ALUM
add,A00001478,ALUM
add,A00001480,ALUM
add,A00001490,ALUM
add,A00001495,ALUM
add,A00001499,ALUM
add,A00001501,ALUM
add,A00001503,ALUM
add,A00001507,ALUM
add,A00001509,ALUM
add,A00001510,ALUM
add,A00001516,ALUM
add,A00001531,ALUM
add,A00001541,ALUM
add,A00001543,ALUM
add,A00001544,ALUM
add,A00001546,ALUM
add,A00001549,ALUM
add,A00001551,ALUM
add,A00001555,ALUM
add,A00001557,ALUM
add,A00001560,ALUM
add,A00001563,ALUM
add,A00001564,ALUM
add,A00001565,ALUM
add,A00001567,ALUM
add,A00001568,ALUM
add,A00001572,ALUM
add,A00001592,ALUM
add,A00001617,ALUM
add,A00001622,ALUM
add,A00001626,ALUM
add,A00001628,ALUM
add,A00001634,ALUM
add,A00001636,ALUM
add,A00001638,ALUM
add,A00001644,ALUM
add,A00001645,ALUM
add,A00001667,ALUM
add,A00001670,ALUM
add,A00001679,ALUM
add,A00001680,ALUM
add,A00001684,ALUM
add,A00001685,ALUM
add,A00001693,ALUM
add,A00001694,ALUM
add,A00001699,ALUM
add,A00001707,ALUM
add,A00001711,ALUM
add,A00001745,ALUM
add,A00001746,ALUM
add,A00001750,ALUM
add,A00001753,ALUM
add,A00001754,ALUM
add,A00001760,ALUM
add,A00001763,ALUM
add,A00001764,ALUM
add,A00001769,ALUM
add,A00001770,ALUM
add,A00001772,ALUM
add,A00001773,ALUM
add,A00001801,ALUM
add,A00001816,ALUM
add,A00001826,ALUM
add,A00001840,ALUM
add,A00001843,ALUM
add,A00001898,ALUM
add,A00001903,ALUM
add,A00001925,ALUM
add,A00001928,ALUM
add,A00001929,ALUM
add,A00001933,ALUM
add,A00001947,ALUM
add,A00001948,ALUM
add,A00001955,ALUM
add,A00001967,ALUM
add,A00001970,ALUM
add,A00001977,ALUM
add,A00001995,ALUM
add,A00001998,ALUM
add,A00002018,ALUM
add,A00002025,ALUM
add,A00002027,ALUM
add,A00002034,ALUM
add,A00002046,ALUM
add,A00002047,ALUM
add,A00002048,ALUM
add,A00002049,ALUM
add,A00002050,ALUM
add,A00002053,ALUM
add,A00002058,ALUM
add,A00002059,ALUM
add,A00002102,ALUM
add,A00002148,ALUM
add,A00002178,ALUM
add,A00002184,ALUM
add,A00002421,ALUM
add,A00002429,ALUM
add,A00002481,ALUM
add,A00002482,ALUM
add,A00002638,ALUM
add,A00002745,ALUM
add,A00002791,ALUM
add,A00002803,ALUM
add,A00002817,ALUM
add,A00002999,ALUM
add,A00003006,ALUM
add,A00003096,ALUM
add,A00003099,ALUM
add,A00003121,ALUM
add,A00003295,ALUM
add,A00003311,ALUM
add,A00003412,ALUM
add,A00003651,ALUM
add,A00003723,ALUM
add,A00003740,ALUM
add,A00003744,ALUM
add,A00003753,ALUM
add,A00003773,ALUM
add,A00003811,ALUM
add,A00003820,ALUM
add,A00003842,ALUM
add,A00003850,ALUM
add,A00003871,ALUM
add,A00003920,ALUM
add,A00003953,ALUM
add,A00003995,ALUM
add,A00003997,ALUM
add,A00004000,ALUM
add,A00004013,ALUM
add,A00004040,ALUM
add,A00004041,ALUM
add,A00004138,ALUM
add,A00004143,ALUM
add,A00004156,ALUM
add,A00004175,ALUM
add,A00004234,ALUM
add,A00004239,ALUM
add,A00004316,ALUM
add,A00004393,ALUM
add,A00004437,ALUM
add,A00004446,ALUM
add,A00004452,ALUM
add,A00004473,ALUM
add,A00004479,ALUM
add,A00004552,ALUM
add,A00004554,ALUM
